"","author","datetimestamp","description","heading","id","language","origin"
"1","By G. Thomas Sims and Paul Hofheinz",2001-12-14,NA,"ECB Trims Forecasts for Growth, Inflation
---
New Data Reflect Slowdown;
Central Bank Chief Says
Rate Cut Not Imminent","J-011214-d","en","The Wall Street Journal"
"2","By NEIL DENNIS IN LONDON.",2001-12-06,NA,"Euro unmoved by ECB's rate hold decision.","FTCOM-011207-d","en","Financial Times"
"3","By DAVID TURNER.",2001-12-06,NA,"ECB leaves rates unchanged at 3.25%.","FTCOM-011207-d","en","Financial Times"
"4",NA,2001-11-09,NA,"Lex - ECB/Bank of England.","FTCOM-011109-d","en","Financial Times"
"5","By DAVID TURNER.",2001-11-08,NA,"ECB bows to pressure with half-point rate cut.","FTCOM-011109-d","en","Financial Times"
"6","By TONY BARBER IN FRANKFURT.",2001-11-06,NA,"Eurozone inflation dip may smooth ECB move.","FTCOM-011107-d","en","Financial Times"
"7","By FT CORRESPONDENTS.",2001-11-04,NA,"Investors await ECB rate-cut decision.","FTCOM-011105-d","en","Financial Times"
"8","By TONY BARBER IN FRANKFURT.",2001-10-31,NA,"Eurozone slowdown fuels ECB rate cut expectations.","FTCOM-011101-d","en","Financial Times"
"9","By CHRIS FLOOD.",2001-10-26,NA,"ECB figures underline investor caution.","FTCOM-011027-d","en","Financial Times"
"10","By TONY BARBER IN FRANKFURT, ALAN BEATTIE IN LONDON AND PERONET DESPEIGNES IN WASHINGTON.",2001-10-25,NA,"ECB adds to gloom as it holds interest rates.","FTCOM-011026-d","en","Financial Times"
"11","By DAVID TURNER.",2001-10-25,NA,"ECB holds rates despite recession worries.","FTCOM-011026-d","en","Financial Times"
"12","By JENNIFER HUGHES IN LONDON.",2001-10-24,NA,"Dollar advance slows ahead of ECB meeting.","FTCOM-011025-d","en","Financial Times"
"13","By VICTOR MALLET IN PARIS AND HAIG SIMONIAN IN BERLIN.",2001-10-12,NA,"European Central Bank under fire over interest rates.","FTCOM-011015-d","en","Financial Times"
"14",NA,2001-10-12,NA,"Lex - European Central Bank.","FTCOM-011012-d","en","Financial Times"
"15","By DAVE SHELLOCK IN LONDON.",2001-10-11,NA,"European bourses shrug off ECB rate decision.","FTCOM-011012-d","en","Financial Times"
"16","By JENNY WIGGINS IN NEW YORK, ARKADY OSTROVSKY IN LONDON AND BAYAN RAHMAN IN TOKYO.",2001-10-11,NA,"Wall St strength and ECB decision weigh on bonds.","FTCOM-011012-d","en","Financial Times"
"17","By DAVID TURNER.",2001-10-11,NA,"Duisenberg says change of head at ECB 'unwise'.","FTCOM-011012-d","en","Financial Times"
"18","By DAVID TURNER.",2001-10-11,NA,"ECB keeps rates on hold but cut seen by year-end.","FTCOM-011012-d","en","Financial Times"
"19","By DAVE SHELLOCK IN LONDON.",2001-10-08,NA,"Looking Ahead - German data may put ECB under pressure.","FTCOM-011009-d","en","Financial Times"
"20","By BETTINA WASSENER IN FRANKFURT.",2001-10-05,NA,"ECB increases number of euro notes.","FTCOM-011008-d","en","Financial Times"
"21","By TONY BARBER IN FRANKFURT AND VICTOR MALLET IN PARIS.",2001-09-27,NA,"ECB takes breath on interest rate cuts.","FTCOM-010928-d","en","Financial Times"
"22","By DAVID TURNER.",2001-09-27,NA,"European Central Bank keeps rates at 3.75%.","FTCOM-010928-d","en","Financial Times"
"23","By DAVE SHELLOCK IN LONDON.",2001-09-20,NA,"ECB remains upbeat about growth and inflation.","FTCOM-010921-d","en","Financial Times"
"24","By TONY BARBER AND TONY MAJOR IN FRANKFURT.",2001-09-13,NA,"ECB stresses resilience of US system.","FTCOM-010915-d","en","Financial Times"
"25","By TONY BARBER AND TONY MAJOR IN FRANKFURT.",2001-09-13,NA,"ECB stresses resilience of US system.","FTCOM-010914-d","en","Financial Times"
"26","By DAVID TURNER.",2001-09-13,NA,"Business as usual as ECB leaves rates unchanged.","FTCOM-010914-d","en","Financial Times"
"27","By DAVE SHELLOCK IN LONDON.",2001-09-13,NA,"European bourses pare gains after ECB hold rates.","FTCOM-010914-d","en","Financial Times"
"28","By DAVID TURNER.",2001-09-13,NA,"ECB holds rates to signal 'business as usual'.","FTCOM-010918-d","en","Financial Times"
"29","By FT.COM STAFF.",2001-09-12,NA,"ECB expected to leave rates unchanged.","FTCOM-010914-d","en","Financial Times"
"30","By DAVE SHELLOCK IN LONDON.",2001-09-12,NA,"Looking Ahead - Focus on insurance sector and the ECB.","FTCOM-010913-d","en","Financial Times"
"31","By FT.COM STAFF.",2001-09-12,NA,"EU and ECB reasure financial markets.","FTCOM-010913-d","en","Financial Times"
"32","By JEFFREY BROWN.",2001-09-10,NA,"European markets await ECB rate-cut decision.","FTCOM-010910-d","en","Financial Times"
"33",NA,2001-08-31,NA,"Lex - ECB.","FTCOM-010831-d","en","Financial Times"
"34","By TONY BARBER IN FRANKFURT AND KEVIN BROWN IN LONDON.",2001-08-30,NA,"ECB prepares to unveile design of euro banknotes.","FTCOM-010831-d","en","Financial Times"
"35","By DAVE SHELLOCK IN LONDON.",2001-08-30,NA,"Bourses cautious ahead of ECB rate decision.","FTCOM-010831-d","en","Financial Times"
"36","By DAVE SHELLOCK IN LONDON.",2001-08-30,NA,"European bourses shrug aside ECB rate cut.","FTCOM-010831-d","en","Financial Times"
"37","By DAVID TURNER.",2001-08-30,NA,"European Central Bank cuts rates by quarter point.","FTCOM-010831-d","en","Financial Times"
"38","By DAVID TURNER.",2001-08-30,NA,"European Central Bank cuts rates by quarter-point.","FTCOM-010831-d","en","Financial Times"
"39","By TONY BARBER IN FRANKFURT AND KEVIN BROWN IN LONDON.",2001-08-30,NA,"ECB prepares to unveil design of euro banknotes.","FTCOM-010831-d","en","Financial Times"
"40","By PAIVI MUNTER IN LONDON.",2001-08-29,NA,"Odds for ECB rate cut finely balanced.","FTCOM-010903-d","en","Financial Times"
"41","By TONY BARBER IN FRANKFURT.",2001-08-29,NA,"ECB faces a tough call on interest rates.","FTCOM-010903-d","en","Financial Times"
"42","By TONY MAJOR IN FRANKFURT.",2001-08-28,NA,"ECB plays down rise in eurozone money supply.","FTCOM-010903-d","en","Financial Times"
"43","By CHRISTOPHER SWANN.",2001-08-27,NA,"Currency Preview - ECB holds the key.","FTCOM-010828-d","en","Financial Times"
"44","By TONY MAJOR IN FRANKFURT.",2001-08-27,NA,"ECB weighs case for biding time on rate cut.","FTCOM-010828-d","en","Financial Times"
"45","By CHRISTOPHER SWANN.",2001-08-27,NA,"ECB holds the key.","FTCOM-010827-d","en","Financial Times"
"46","By ROBERT GRAHAM IN PARIS.",2001-08-14,NA,"France holds firm to ECB succession.","FTCOM-010815-d","en","Financial Times"
"47",NA,2001-08-10,NA,"Editorial comment - ECB's message.","FTCOM-010810-d","en","Financial Times"
"48","By TONY MAJOR IN FRANKFURT.",2001-08-09,NA,"ECB starts to worry about eurozone growth risk.","FTCOM-010810-d","en","Financial Times"
"49","By DAVE SHELLOCK IN LONDON.",2001-08-02,NA,"European bourses firm as ECB keeps rates on hold.","FTCOM-010803-d","en","Financial Times"
"50","By BETTINA WASSENER IN FRANKFURT.",2001-08-02,NA,"ECB leaves rates unchanged.","FTCOM-010803-d","en","Financial Times"
"51","By TONY BARBER IN FRANKFURT.",2001-08-01,NA,"A shared interest - The ECB Governing Council.","FTCOM-010802-d","en","Financial Times"
"52","By TONY BARBER IN FRANKFURT.",2001-08-01,NA,"Eurozone data increase pressure on ECB to cut rates.","FTCOM-010802-d","en","Financial Times"
"53","By TONY BARBER IN FRANKFURT.",2001-08-01,NA,"Eurozone data increases pressure on ECB to cut rates.","FTCOM-010802-d","en","Financial Times"
"54","By TONY BARBER IN FRANKFURT.",2001-07-26,NA,"ECB plays down eurozone money supply growth rate.","FTCOM-020323-d","en","Financial Times"
"55","By BETTINA WASSENER IN FRANKFURT.",2001-07-26,NA,"Germany's Ifo calls on ECB to cut rate.","FTCOM-020323-d","en","Financial Times"
"56","By TONY BARBER IN FRANKFURT.",2001-07-26,NA,"ECB plays down eurozone money supply growth rate.","FTCOM-010728-d","en","Financial Times"
"57","By BETTINA WASSENER IN FRANKFURT.",2001-07-26,NA,"Germany's Ifo calls on ECB to cut rate.","FTCOM-010727-d","en","Financial Times"
"58","By ANDREW WATT.",2001-07-16,NA,"LETTERS TO THE EDITOR - Employment policies need ECB support.","FTFT-020323-d","en","Financial Times"
"59","By ANDREW WATT.",2001-07-16,NA,"LETTERS TO THE EDITOR - Employment policies need ECB support.","FTFT-010716-d","en","Financial Times"
"60","By TONY BARBER IN FRANKFURT.",2001-07-05,NA,"No interest rate cuts 'for some time', says ECB.","FTCOM-020323-d","en","Financial Times"
"61","By JENNIFER HUGHES IN LONDON.",2001-07-05,NA,"ECB keeps eyes on inflation and leaves rates on hold.","FTCOM-020323-d","en","Financial Times"
"62","By TONY BARBER IN FRANKFURT.",2001-07-05,NA,"ECB unlikely to cut interest rates 'for some time'.","FTCOM-020323-d","en","Financial Times"
"63","By ARKADY OSTROVSKY IN LONDON, JENNY WIGGINS IN NEW YORK AND BAYAN RAHMAN IN TOKYO.",2001-07-05,NA,"Bond prices fall on ECB rate inaction.","FTCOM-020323-d","en","Financial Times"
"64","By JENNIFER HUGHES IN LONDON.",2001-07-05,NA,"ECB keeps eyes on inflation and leaves rates on hold.","FTCOM-010911-d","en","Financial Times"
"65","By TONY BARBER IN FRANKFURT.",2001-07-05,NA,"No interest rate cuts 'for some time', says ECB.","FTCOM-010911-d","en","Financial Times"
"66","By TONY BARBER IN FRANKFURT.",2001-07-05,NA,"ECB unlikely to cut interest rates 'for some time'.","FTCOM-010709-d","en","Financial Times"
"67","By ARKADY OSTROVSKY IN LONDON, JENNY WIGGINS IN NEW YORK AND BAYAN RAHMAN IN TOKYO.",2001-07-05,NA,"Bond prices fall on ECB rate inaction.","FTCOM-010709-d","en","Financial Times"
"68","By PETER NORMAN.",2001-07-04,NA,"FRONT PAGE - FIRST SECTION - Duisenberg says ECB has no reason to cut rates.","FTFT-020324-d","en","Financial Times"
"69","By PETER NORMAN IN BRUSSELS.",2001-07-04,NA,"ECB chief rules out rate cut.","FTCOM-020323-d","en","Financial Times"
"70","By PETER NORMAN IN BRUSSELS.",2001-07-04,NA,"ECB chief rules out rate cut.","FTCOM-010911-d","en","Financial Times"
"71","By PETER NORMAN.",2001-07-04,NA,"FRONT PAGE - FIRST SECTION - Duisenberg says ECB has no reason to cut rates.","FTFT-010911-d","en","Financial Times"
"72","By FT.COM STAFF.",2001-07-02,NA,"Manufacturing fall adds pressure for ECB rate cut.","FTCOM-020323-d","en","Financial Times"
"73",NA,2001-07-02,NA,"Editorial comment - ECB succession.","FTCOM-020323-d","en","Financial Times"
"74","By FT.COM STAFF.",2001-07-02,NA,"Manufacturing fall adds pressure for ECB rate cut.","FTCOM-010911-d","en","Financial Times"
"75",NA,2001-07-02,NA,"Editorial comment - ECB succession.","FTCOM-010911-d","en","Financial Times"
"76","By DAVID TURNER.",2001-07-01,NA,"Euro-zone awaits ECB's rate ruling.","FTCOM-020323-d","en","Financial Times"
"77","By DAVID TURNER.",2001-07-01,NA,"Euro-zone awaits ECB's rate ruling.","FTCOM-010911-d","en","Financial Times"
"78","By FT.COM STAFF.",2001-06-27,NA,"ECB's Duisenberg says likely to step down before term ends.","FTCOM-010715-d","en","Financial Times"
"79",NA,2001-06-23,NA,"Lex - ECB policy.","FTCOM-010715-d","en","Financial Times"
"80","By TONY MAJOR IN FRANKFURT.",2001-06-13,NA,"Inflation still a risk, says ECB.","FTCOM-010715-d","en","Financial Times"
"81","By NERMA JELACIC IN LONDON.",2001-06-07,NA,"European stocks dip after ECB holds rates.","FTCOM-010715-d","en","Financial Times"
"82","By DAVID TURNER IN LONDON.",2001-06-07,NA,"ECB holds rates steady amid inflation fears.","FTCOM-010715-d","en","Financial Times"
"83","By ALAN BEATTIE, BRIAN GROOM, ANDREW PARKER AND PETER NORMAN.",2001-05-29,NA,"Brown call for ECB to be reformed is rebuffed.","FTCOM-010715-d","en","Financial Times"
"84","By PETER NORMAN.",2001-05-28,NA,"ECB chief insists euro notes launch will be a success.","FTCOM-010715-d","en","Financial Times"
"85","By Peter Goldstein
WSJ.com",2001-05-25,NA,"Europe Shares Rebound
From Early Declines
---
U.S. Stock Drop, ECB Rate Inaction Ignored
---
Utilities, Insurance and Autos Lead Recovery","AWSJ-010710-d","en","The Wall Street Journal"
"86","By DAVID TURNER.",2001-05-23,NA,"ECB keeps rates unchanged as inflation rises.","FTCOM-010715-d","en","Financial Times"
"87","By BRIAN GROOM IN LONDON AND PETER NORMAN IN BRUSSELS.",2001-05-23,NA,"Brown expresses concerns over role of ECB.","FTCOM-010715-d","en","Financial Times"
"88","By TONY BARBER IN FRANKFURT.",2001-05-14,NA,"ECB watch - Rate cut reasoning not to everyone's taste.","FTCOM-010715-d","en","Financial Times"
"89","By SARAH LAITNER IN LONDON, JENNY WIGGINS IN NEW YORK AND KEN HIJINO IN TOKYO.",2001-05-10,NA,"ECB and UK rate cuts boost prices.","FTCOM-010715-d","en","Financial Times"
"90","By NEIL DENNIS IN LONDON.",2001-05-10,NA,"European stocks cheer ECB turnaround.","FTCOM-010715-d","en","Financial Times"
"91","By JENNIFER HUGHES IN LONDON.",2001-05-09,NA,"Euro lower ahead of ECB rate meeting.","FTCOM-010715-d","en","Financial Times"
"92","By TONY BARBER IN FRANKFURT.",2001-05-07,NA,"ECB Watch - It's too early to go against the flow.","FTCOM-010715-d","en","Financial Times"
"93","By DAVID TURNER.",2001-05-07,NA,"German data foreshadow growing pressure on ECB.","FTCOM-010715-d","en","Financial Times"
"94","By DAVID TURNER.",2001-05-02,NA,"Noyer defends ECB's inflation concerns.","FTCOM-010715-d","en","Financial Times"
"95","By TONY BARBER IN FRANKFURT.",2001-04-30,NA,"ECB watch - Euro-zone inflation remains a concern.","FTCOM-010715-d","en","Financial Times"
"96","By JENNIFER HUGHES IN LONDON.",2001-04-30,NA,"Dollar strengthens as ECB rate cut hopes recede.","FTCOM-010715-d","en","Financial Times"
"97","By ALAN BEATTIE AND STEPHEN FIDLER IN WASHINGTON.",2001-04-30,NA,"France raises pressure on ECB to cut interest rates.","FTCOM-010715-d","en","Financial Times"
"98","By ALAN BEATTIE AND STEPHEN FIDLER.",2001-04-29,NA,"ECB's policies remain in the line of fire.","FTCOM-010715-d","en","Financial Times"
"99","By ALAN BEATTIE IN WASHINGTON.",2001-04-29,NA,"ECB escapes criticism at G7 meeting.","FTCOM-010715-d","en","Financial Times"
"100",NA,2001-04-27,NA,"Editorial comment - ECB under siege.","FTCOM-010715-d","en","Financial Times"
"101","By TONY BARBER IN FRANKFURT.",2001-04-26,NA,"Inflation worry keeps ECB rates steady.","FTCOM-010715-d","en","Financial Times"
"102","By DAVE SHELLOCK IN LONDON.",2001-04-26,NA,"European bourses unmoved by the ECB decision.","FTCOM-010715-d","en","Financial Times"
"103","By DAVE SHELLOCK IN LONDON.",2001-04-25,NA,"Inflation worries seen guiding ECB rate move.","FTCOM-010715-d","en","Financial Times"
"104","By TONY BARBER IN FRANKFURT.",2001-04-24,NA,"Inflation may stop ECB rate cut.","FTCOM-010715-d","en","Financial Times"
"105","By TONY BARBER IN FRANKFURT.",2001-04-24,NA,"Inflation may to stop ECB rate cut.","FTCOM-010715-d","en","Financial Times"
"106","By TONY BARBER IN FRANKFURT.",2001-04-24,NA,"Inflation may to stop ECB rate cut.","FTCOM-010715-d","en","Financial Times"
"107","By DAVID TURNER.",2001-04-23,NA,"Currencies preview - Strategists skeptical about ECB.","FTCOM-010715-d","en","Financial Times"
"108","By PHILIP COGGAN.",2001-04-11,NA,"Talking Stock - The ECB's thankless task.","FTCOM-010715-d","en","Financial Times"
"109","By JENNIFER HUGHES IN LONDON.",2001-04-11,NA,"Euro tumbles as ECB keeps rates on hold.","FTCOM-010715-d","en","Financial Times"
"110","By DAVID TURNER.",2001-04-11,NA,"ECB holds benchmark interest rate at 4.75%.","FTCOM-010715-d","en","Financial Times"
"111","By DAVE SHELLOCK IN LONDON.",2001-04-11,NA,"FTSE down as markets await ECB rate decision.","FTCOM-010715-d","en","Financial Times"
"112","By Reinhard Uhlmann and Patrick Welter
Handelsblatt Correspondents",2001-04-10,NA,"German Economists
Urge ECB to Raise
Expected Rate Cut
---
Institutes Join Chorus
Of International Organizations","WSJE-010713-d","en","The Wall Street Journal"
"113","By TONY BARBER IN FRANKFURT.",2001-04-09,NA,"ECB watch - Is Russia to blame for euro weakness?","FTCOM-010715-d","en","Financial Times"
"114","By TONY BARBER IN FRANKFURT AND ROBERT GRAHAM IN PARIS.",2001-04-09,NA,"Early decision on next ECB president is urged.","FTCOM-010715-d","en","Financial Times"
"115","By G. Thomas Sims",2001-04-06,NA,"German Finance Minister
Endorses Euro-Zone Rate Cut
---
Remarks Reflect Growing Impatience With ECB's Reluctance to Ease Policy
---
Economic Reports Indicate Global Downturn Is Spreading Through Region","WSJE-010713-d","en","The Wall Street Journal"
"116","By TONY BARBER IN FRANKFURT.",2001-04-05,NA,"ECB says 'wait and see' on rates.","FTCOM-010715-d","en","Financial Times"
"117",NA,2001-04-05,NA,"World Bond Markets:
Short-Term Issues Rise in the Euro Zone
---
Increased Talk of Possible ECB Rate-Cut Is Helpful to Trend","WSJE-010713-d","en","The Wall Street Journal"
"118","By TONY BARBER IN LONDON.",2001-03-29,NA,"Euro falls as ECB holds rates.","FTCOM-010715-d","en","Financial Times"
"119","By CHRISTOPHER SWANN.",2001-03-29,NA,"Euro flags after ECB hold rates.","FTCOM-010715-d","en","Financial Times"
"120","By PHILIP COGGAN.",2001-03-29,NA,"Talking Stock - ECB's uncertainty principle.","FTCOM-010715-d","en","Financial Times"
"121","By JENNIFER HUGHES IN LONDON.",2001-03-29,NA,"Euro drops to 3-month low on ECB rate decision.","FTCOM-010715-d","en","Financial Times"
"122","By DAVE SHELLOCK IN LONDON.",2001-03-28,NA,"Looking Ahead - Euro seen flat, but stocks weaker on ECB inaction.","FTCOM-010715-d","en","Financial Times"
"123","By JENNIFER HUGHES IN LONDON.",2001-03-28,NA,"Euro falls as ECB seen to leave rates on hold.","FTCOM-010715-d","en","Financial Times"
"124","By TONY BARBER IN FRANKFURT AND DEBORAH HARGREAVES IN STOCKHOLM.",2001-03-24,NA,"ECB signals rate cut is imminent.","FTCOM-010715-d","en","Financial Times"
"125","By JENNIFER HUGHES IN LONDON.",2001-03-23,NA,"Euro gains on ECB rate cut hopes.","FTCOM-010715-d","en","Financial Times"
"126","By TONY BARBER IN FRANKFURT.",2001-03-22,NA,"ECB wants role for central banks.","FTCOM-010715-d","en","Financial Times"
"127","By TONY BARBER IN FRANKFURT.",2001-03-21,NA,"German downturn puts ECB policy in spotlight.","FTCOM-010715-d","en","Financial Times"
"128","By TONY BARBER IN FRANKFURT.",2001-03-19,NA,"ECB Watch - Italy could be the euro-zone's loose cannon.","FTCOM-010715-d","en","Financial Times"
"129","By DAVID TURNER.",2001-03-16,NA,"Rising inflation reduces scope for ECB rate cuts.","FTCOM-010715-d","en","Financial Times"
"130","By FT.COM STAFF.",2001-03-15,NA,"European markets cautious ahead of ECB decision.","FTCOM-010715-d","en","Financial Times"
"131","By DAVID TURNER.",2001-03-15,NA,"ECB keeps interest rates unchanged.","FTCOM-010715-d","en","Financial Times"
"132","By TONY BARBER IN FRANKFURT.",2001-03-15,NA,"ECB to probe euro note security glitch.","FTCOM-010715-d","en","Financial Times"
"133","By TONY BARBER IN FRANKFURT.",2001-03-12,NA,"ECB watch - The Euro figures that don't add up.","FTCOM-010715-d","en","Financial Times"
"134","By TONY BARBER IN FRANKFURT.",2001-03-08,NA,"ECB softens upbeat message.","FTCOM-010715-d","en","Financial Times"
"135","By DANIEL DOMBEY IN BRUSSELS AND TONY BARBER IN FRANKFURT.",2001-03-06,NA,"ECB and Germany at odds over banking supervision.","FTCOM-010715-d","en","Financial Times"
"136","By TONY BARBER IN FRANKFURT.",2001-03-05,NA,"ECB watch - Virtuous fiscal practice is key to growth.","FTCOM-010715-d","en","Financial Times"
"137","By G. Thomas Sims",2001-03-02,NA,"ECB Keeps Rates
Unchanged, Shows
No Plans to Ease
---
Duisenberg Says Growth
`Will Remain Fairly Robust'","WSJE-010713-d","en","The Wall Street Journal"
"138","By TONY BARBER IN FRANKFURT AND FT.COM STAFF.",2001-03-01,NA,"ECB expected to leave rates unchanged.","FTCOM-010715-d","en","Financial Times"
"139","By DAVID TURNER.",2001-03-01,NA,"ECB keep rates on hold at 4.75%.","FTCOM-010715-d","en","Financial Times"
"140","By TONY BARBER IN FRANKFURT.",2001-03-01,NA,"ECB boosted by inflation data.","FTCOM-010715-d","en","Financial Times"
"141","By TONY BARBER IN FRANKFURT.",2001-03-01,NA,"ECB launches euro advertising campaign.","FTCOM-010715-d","en","Financial Times"
"142","By DAVID TURNER.",2001-03-01,NA,"ECB keeps rates on hold at 4.75%.","FTCOM-010715-d","en","Financial Times"
"143","By FT.COM STAFF.",2001-02-27,NA,"What's off - ECB postpones Dublin meeting.","FTCOM-010715-d","en","Financial Times"
"144","By TONY BARBER IN FRANKFURT.",2001-02-26,NA,"ECB watch - Early interest rate cut appears unlikely.","FTCOM-010715-d","en","Financial Times"
"145","By TONY MAJOR IN FRANKFURT.",2001-02-19,NA,"ECB Watch - Duisenberg targets merits of euro-zone.","FTCOM-010715-d","en","Financial Times"
"146","By CHRISTOPHER SWANN AND DAVID TURNER.",2001-02-15,NA,"Euro flags despite ECB rate decision.","FTCOM-010715-d","en","Financial Times"
"147","By DAVID TURNER.",2001-02-15,NA,"ECB leaves rates unchanged.","FTCOM-010715-d","en","Financial Times"
"148","By TONY BARBER IN FRANKFURT.",2001-02-08,NA,"ECB cautious on inflation outlook.","FTCOM-010715-d","en","Financial Times"
"149","By TONY BARBER IN FRANKFURT.",2001-02-05,NA,"ECB Watch - Europe ruminates the beef crisis.","FTCOM-010715-d","en","Financial Times"
"150","By DAVID TURNER.",2001-02-01,NA,"ECB leaves rates on hold despite growth slowdown.","FTCOM-010715-d","en","Financial Times"
"151","By TONY BARBER IN FRANKFURT.",2001-01-22,NA,"ECB watch - Currency rise may not be all good news.","FTCOM-010715-d","en","Financial Times"
"152","By TONY BARBER IN FRANKFURT.",2001-01-18,NA,"ECB adopts wait and see stance.","FTCOM-010715-d","en","Financial Times"
"153","By TONY BARBER IN FRANKFURT.",2001-01-15,NA,"ECB Watch - High pay deals still a cause for concern.","FTCOM-010715-d","en","Financial Times"
"154","By TONY BARBER IN FRANKFURT.",2001-01-11,NA,"ECB predicts falling inflation rates in euro-zone.","FTCOM-010715-d","en","Financial Times"
"155","By TONY BARBER IN FRANKFURT.",2001-01-08,NA,"ECB watch - Frankfurt remains cool on rate moves.","FTCOM-010715-d","en","Financial Times"
"156","By ADRIENNE ROBERTS IN LONDON.",2001-01-04,NA,"Euro steady after ECB decision.","FTCOM-010715-d","en","Financial Times"
"157","By TONY BARBER IN FRANKFURT.",2001-01-03,NA,"ECB rate rises blamed for German slowdown.","FTCOM-010715-d","en","Financial Times"
"158","By G. Thomas Sims",2000-11-24,NA,"ECB Intervened
To Break Pattern
Of a One-Way Euro
---
Effects of Actions Remain
Unclear, Duisenberg Says","WSJE-010814-d","en","The Wall Street Journal"
"159","By Brendan Brown",2000-11-06,NA,"Soft Money:
It's Time for the ECB to Tighten","WSJE-010814-d","en","The Wall Street Journal"
"160","By G. Thomas Sims",2000-10-20,NA,"Duisenberg Vows
To Stop Talking
About Intervention
---
Much-Criticized ECB Chief
Makes Use of `No Comment'","WSJE-010814-d","en","The Wall Street Journal"
"161","By G. Thomas Sims",2000-07-12,NA,"ECB Recalls
Some 32.5 Billion
In Euro Bills
---
Imperfection Puts Banknotes
Out of Circulation for 2002","WSJE-010814-d","en","The Wall Street Journal"
"162",NA,2000-05-31,NA,"Close Cooperation
Is Urged by Jospin
For ECB, Ministers
---
Eichel, Fabius Discuss Ways
To Strengthen Collaboration","WSJE-010814-d","en","The Wall Street Journal"
"163","By David Malpass",2000-05-08,NA,"The Falling Euro:
The ECB's Policy Is Not Working","WSJE-010814-d","en","The Wall Street Journal"
"164","By Nicholas Hastings",2000-05-03,NA,"Global Finance -- Forex Focus:
Time Is Right
For ECB to Make
A Move on Euro","WSJE-010814-d","en","The Wall Street Journal"
"165","By Michael R. Sesit",2000-03-10,NA,"Global Player --
Getting a Bum Rap:
The ECB Isn't Buba
And That Ain't Bad","WSJE-010814-d","en","The Wall Street Journal"
"166","By staff reporters Michael R. Sesit in London and G. Thomas Sims in
Frankfurt",2000-02-29,NA,"Euro's Mysterious Fall
Sets Off Market Alarms
---
ECB Interest-Rate Uncertainty May Be to Blame","WSJE-010814-d","en","The Wall Street Journal"
"167","By G. Thomas Sims",2000-02-14,NA,"Euroland Rate Outlook
Keeps Getting Higher
---
ECB Will Need to Walk a Fine Line","WSJE-010814-d","en","The Wall Street Journal"
"168","By G. Thomas Sims",2003-12-18,NA,"Cautious Trichet Reaffirms ECB Pursues a Strong Euro --- In First Interview on Job, Chief `Rejoices' U.S. Adopts Same Strategy for Dollar","WSJE-031218-d","en","The Wall Street Journal"
"169","By Jamie McGeever Dow Jones Newswires",2003-12-18,NA,"Dollar Hits Record Low Against Euro --- U.S. Currency Is Pounded By Report That Intervention By ECB Won't Come Soon","J-031218-d","en","The Wall Street Journal"
"170","By G. Thomas Sims",2003-12-12,NA,"ECB May Hold Rates At Lows Despite Pickup --- Forecasts of Steady Growth And Inflation Below 2% Hint Bank Will Stand Pat","WSJE-031212-d","en","The Wall Street Journal"
"171","By WOLFGANG MUNCHAU.",2003-12-08,NA,"The ECB should learn to hold its tongue.","FTFT-031208-d","en","Financial Times"
"172","By WOLFGANG MUNCHAU.",2003-12-07,NA,"Wolfgang Munchau - The ECB should hold its tongue.","FTCOM-031208-d","en","Financial Times"
"173","By G. Thomas Sims",2003-12-05,NA,"ECB Chief Vows to Keep Vigilant Over Inflation Risk in Euro Zone","WSJE-031205-d","en","The Wall Street Journal"
"174","By G. Thomas Sims",2003-12-02,NA,"New ECB Chief Gets Trial by Fire --- Trichet Forced to Handle A Host of Unexpected Issues Amid Modernizing Europe","J-031202-d","en","The Wall Street Journal"
"175","By GEORGE PARKER.",2003-12-02,NA,"ECB in spat with Germany over EU's fiscal rules STABILITY AND GROWTH PACT.","FTFT-031202-d","en","Financial Times"
"176","By G. Thomas Sims",2003-12-02,NA,"New Chief at ECB Sees Volatile Month in Office --- Trichet Faces Labor Unrest, Suspension of Budget Caps And Attack on Central Bank","WSJE-031202-d","en","The Wall Street Journal"
"177","By GEORGE PARKER IN BRUSSELS.",2003-12-01,NA,"Germany and ECB argue over pact's collapse.","FTCOM-031202-d","en","Financial Times"
"178","By TONY MAJOR.",2003-11-28,NA,"ECB angry over Italy's appointments plan EU CONSTITUTION.","FTFT-031128-d","en","Financial Times"
"179","By G. Thomas Sims",2003-11-28,NA,"ECB Watchers Differ on Stability Pact","WSJE-031128-d","en","The Wall Street Journal"
"180","By Christopher Rhoads in Berlin and Brandon Mitchener in Brussels",2003-11-26,NA,"Finance Chiefs Deal Setback to EU --- Germany and France Dodge Effort to Rein In Spending; ECB Warns of Consequences","J-031126-d","en","The Wall Street Journal"
"181","By Christopher Rhoads in Berlin and G. Thomas Sims In Frankfurt",2003-11-26,NA,"Euro-Zone Finance Chiefs Deal a Blow to Integration --- Germany and France Dodge EU Effort to Curb Spending; ECB Warns of Consequencesn","WSJE-031126-d","en","The Wall Street Journal"
"182",NA,2003-11-05,NA,"Group will continue to monitor ECB.","FTFT-031105-d","en","Financial Times"
"183","By ANDREAS KROSTA and TONY MAJOR.",2003-11-05,NA,"ECB faces strike over technology reforms.","FTFT-031105-d","en","Financial Times"
