"","author","datetimestamp","description","heading","id","language","origin"
"2486","By Richard Barley and Simon Nixon",2010-05-05,NA,"ECB Should Resist QE Siren Call","J-100505-e","en","The Wall Street Journal"
"2487",NA,2010-05-05,NA,"Triple-A decision; ECB changes its mind on credit ratings. Quite right too.","FTFT-100505-e","en","Financial Times"
"2488","By Geoffrey T. Smith",2010-05-03,NA,"ECB Suspends Rating Limits on Greek Debt","WSJO-100503-e","en","The Wall Street Journal"
"2489","By Ralph Atkins in Athens",2010-05-03,NA,"ECB extends lifeline to Greece","FTCOM-100503-e","en","Financial Times"
"2490","By Ralph Atkins in Athens",2010-05-03,NA,"ECB grants exemption to Greece","FTCOM-100503-e","en","Financial Times"
"2491","By Brian Blackstone",2010-04-28,NA,"World News: Greece's Debt Crisis Poses a Risk to ECB Balance Sheet","J-100428-e","en","The Wall Street Journal"
"2492","By Richard Barley",2010-04-28,NA,"Hobson's Choice for Germany, ECB","J-100428-e","en","The Wall Street Journal"
"2493","By Richard Barley",2010-04-28,NA,"Hobson's Choice for Germany, ECB","WSJO-100428-e","en","The Wall Street Journal"
"2494","By Brian Blackstone",2010-04-28,NA,"Greek Crisis Poses ECB Risk; A default would cost the central bank, which accepts sovereign debt as collateral for loans","WSJO-100427-e","en","The Wall Street Journal"
"2495","By Ralph Atkins in Frankfurt",2010-04-28,NA,"ECB in stark warning on sovereign debt crisis","FTCOM-100428-e","en","Financial Times"
"2496","By Andrea Thomas and Costas Paris",2010-04-27,NA,"World News: Merkel Puts Strings on Help for Greece --- German Chancellor Says Athens Needs to Implement Deficit-Reduction Plan; ECB Chief Sees Swift Work on Aid Package","J-100427-e","en","The Wall Street Journal"
"2497","Grant, Jeremy",2010-04-20,NA,"ECB urges more direct monitoring","FTFT-100420-e","en","Financial Times"
"2498","By Ralph Atkins in Frankfurt",2010-04-16,NA,"ECB alert over lingering global imbalances","FTFT-100416-e","en","Financial Times"
"2499","By Brian Blackstone",2010-04-13,NA,"Europe News: Trichet's voice unheeded in turmoil --- ECB chief, the euro's guardian, appears out of step with governments as a potential Greece bailout is shaped","WSJE-100413-e","en","The Wall Street Journal"
"2500","Elena Moya",2010-04-09,NA,"Greek bond sell-off continues as ECB president fails to calm fears of a default: Country facing interest costs twice as high as UK Turmoil sends the euro and share prices down","GRDN-100408-e","en","The Guardian"
"2501","By Christopher Emsden",2010-04-09,NA,"Europe News: ECB will revamp its collateral plan","WSJE-100409-e","en","The Wall Street Journal"
"2502","By Ralph Atkins in Frankfurt",2010-04-08,NA,"ECB leaves rates on hold at 1%","FTCOM-100408-e","en","Financial Times"
"2503","By Christopher Emsden",2010-04-08,NA,"ECB to Revamp Collateral Plan","WSJO-100408-e","en","The Wall Street Journal"
"2504","By David Oakley",2010-04-01,NA,"Europe's banks cut back on ECB funding requests","FTFT-100401-e","en","Financial Times"
"2505","By Ralph Atkins in Frankfurt, John Thornhill in Cernobbio and Ben Hall in Brussels",2010-03-27,NA,"IMF involvement proves embarrassment for ECB","FTFT-100327-e","en","Financial Times"
"2506","By Brian Blackstone and Geoffrey T. Smith",2010-03-26,NA,"Europe News: ECB gives Greece more time to heal --- Trichet doesn't end softened collateral rules for sovereign debt, which would have put Greek bonds close to the edge","WSJE-100326-e","en","The Wall Street Journal"
"2507","By Ralph Atkins and David Oakley in London",2010-03-26,NA,"Respite offered by ECB ratings U-turn","FTFT-100326-e","en","Financial Times"
"2508","Nielsen, Erik",2010-03-25,NA,"ECB must re-examine its dependence on rating agencies","FTFT-100325-e","en","Financial Times"
"2509","By Ralph Atkins in Frankfurt",2010-03-25,NA,"German stance on Greek crisis threatens euro, says ECB official","FTFT-100325-e","en","Financial Times"
"2510","By David Oakley and Ralph Atkins in London",2010-03-25,NA,"ECB to relax rules on collateral","FTCOM-100325-e","en","Financial Times"
"2511","By Geoffrey T. Smith",2010-03-25,NA,"ECB Offers Olive Branch to Greece","WSJO-100325-e","en","The Wall Street Journal"
"2512","By Ralph Atkins in Frankfurt",2010-03-24,NA,"ECB takes on Merkel over Greece","FTCOM-100324-e","en","Financial Times"
"2513","By Brian Blackstone",2010-03-23,NA,"World News: Rifts Widen on Greece Rescue --- ECB Signals Way for Euro-Zone Loans as Germany Pushes for an IMF Option","J-100323-e","en","The Wall Street Journal"
